,bucket,cpu,gcl,population,time
347,9868,9.396535,12773.834761764854,12,
348,9878,5.239357,12787.834761764854,12,
349,9874,4.80308,12803.834761764854,12,
350,9888,4.983467,12820.834761764854,12,
351,9902,5.144575,12834.834761764854,12,
352,9916,5.288197,12848.834761764854,12,
353,9930,21.977913,12862.834761764854,12,
354,9927,10.592016999999998,12876.834761764854,12,
355,9935,16.329743999999998,12890.834761764854,12,
356,9938,6.301652,12904.834761764854,12,
357,9950,4.489115999999999,12918.834761764854,12,
358,9964,4.615646,12932.834761764854,12,
359,9978,4.709327,12946.834761764854,12,
360,9992,5.232314,12960.834761764854,12,
361,10000,4.200310999999999,12965.834761764854,12,
362,10000,21.206358,12970.834761764854,12,
363,9998,26.554143,12975.834761764854,12,
364,9990,5.3159,12980.834761764854,12,
365,10000,6.388771,12985.834761764854,12,
366,10000,5.582207,12990.834761764854,12,
367,10000,5.214055999999999,12995.834761764854,12,
368,10000,16.935468,13000.834761764854,12,
369,10000,4.696142,13005.834761764854,12,
370,10000,12.398386,13011.834761764854,12,
371,10000,13.165755,13017.834761764854,12,
372,10000,5.2791559999999995,13030.834761764854,12,
373,10000,5.311271,13043.834761764854,12,
374,10000,7.313243,13056.834761764854,12,
375,10000,6.257848,13069.834761764854,12,
376,10000,4.511497,13074.834761764854,12,
377,10000,5.21882,13079.834761764854,12,
378,10000,5.489363,13084.834761764854,12,
379,10000,12.764202999999998,13089.834761764854,12,
380,10000,5.494541,13094.834761764854,12,
381,10000,5.131719,13107.834761764854,12,
382,10000,4.997878,13120.834761764854,12,
383,10000,5.65731,13133.834761764854,12,
384,11000,246.732884,13146.834761764854,12,
385,10000,6.950333,13159.834761764854,12,
386,10000,265.873747,13162.834761764854,12,
387,9753,262.300711,13165.834761764854,12,
388,9510,11.782172000000001,13176.834761764854,12,
389,9517,249.74785999999997,13187.834761764854,12,
390,9286,5.648999,13196.834761764854,12,
391,9299,6.550647,13205.834761764854,12,
392,9311,5.8681090000000005,13216.834761764854,12,
393,9324,4.950258,13227.834761764854,12,
394,9338,6.352908,13238.834761764854,12,
395,9351,12.445514,13249.834761764854,12,
396,9357,5.856681,13260.834761764854,12,
397,9351,6.454436,13270.834761764854,12,
398,9363,8.718522,13273.834761764854,12,
399,9373,6.1190359999999995,13276.834761764854,12,
400,9386,5.6266929999999995,13279.834761764854,12,
401,9399,5.4616999999999996,13282.834761764854,12,
402,9412,20.178209,13285.834761764854,12,
403,9411,70.678091,13296.834761764854,12,
404,9359,12.403272000000001,13307.834761764854,12,
405,9365,8.472588,13318.834761764854,12,
406,9375,11.617211,13329.834761764854,12,
407,9382,5.577145,13340.834761764854,12,
408,9395,6.092886999999999,13351.834761764854,12,
409,9408,7.693035,13353.834761764854,12,
410,9419,6.512698,13355.834761764854,12,
411,9431,12.739894,13357.834761764854,12,
412,9437,5.556162,13359.834761764854,12,
413,9450,5.216742,13361.834761764854,12,
414,9464,5.19511,13363.834761764854,12,
415,9478,5.560432,13365.834761764854,12,
416,9491,5.920705,13378.834761764854,12,
417,9504,5.343928,13383.834761764854,12,
418,9518,15.825705999999998,13388.834761764854,12,
419,9521,13.786100999999999,13393.834761764854,12,
420,9526,5.750776999999999,13398.834761764854,12,
421,9539,4.667812,13403.834761764854,12,
422,9553,4.80832,13416.834761764854,11,
423,9567,5.970085999999999,13429.834761764854,11,
424,9580,4.860035,13442.834761764854,11,
425,9594,4.779688,13455.834761764854,11,
426,9608,5.2424610000000005,13468.834761764854,11,
427,9622,14.785454,13481.834761764854,12,
428,9626,4.82667,13495.834761764854,12,
429,9640,4.177937999999999,13509.834761764854,12,
430,9655,8.637913,13523.834761764854,12,
431,9665,5.179932,13537.834761764854,12,
432,9679,5.524725999999999,13542.834761764854,12,
433,9692,4.552097,13547.834761764854,12,
434,9706,12.501231,13552.834761764854,12,
435,9712,14.545749,13557.834761764854,12,
436,9716,5.4029359999999995,13562.834761764854,12,
437,9730,7.29505,13567.834761764854,12,
438,9742,6.290398,13572.834761764854,12,
439,9754,4.328594,13577.834761764854,12,
440,9769,5.34825,13582.834761764854,12,
441,9783,4.600967,13587.834761764854,12,
